#Nome #Preço #Cor #CustoCasa #CustoHotel #ValorHipoteca
connecticutavenue 120 0 12 24 36
vermontavenue 100 0 10 20 30
orientalavenue 100 0 10 20 30
balticavenue 60 1 6 12 18
mediterraneanavenue 60 1 6 12 18
boardwalk 400 2 40 80 120
parkpalace 350 2 35 70 105
pennsylvaniaavenue 320 3 32 64 96
northcarolinaavenue 300 3 30 60 90
pacificavenue 300 3 30 60 90
marvingardens 280 4 28 54 84
ventoravenue 260 4 26 52 78
atlantic 260 4 26 52 78
illinoisavenue 240 5 24 48 72
indianaavenue 220 5 22 44 66
kentuckyavenue 220 5 22 44 66
newyorkavenue 200 6 20 40 60
teneseeavenue 180 6 18 36 54
stjamesplace 160 6 16 32 48
virginiaavenue 160 7 16 32 48
statesavenue 140 7 14 28 42
stcharlesplace 140 7 14 28 42
